nazwa_pomiaru,jednostka,srednia,niepewnosc
ciez1_masa,g,226.9,0.6148245191380491
ciez2_masa,g,336.1,0.6148245191380491
okres1,s,0.2571666666666667,0.003777164982978898
okres2,s,0.34661111111111115,0.0027556215145431175
okres3,s,0.49627777777777776,0.002057514915349617
okres4,s,0.595111111111111,0.0017229190147574833
sym1,s,0.8397777777777778,0.001954032796576363
asym,s,0.7142777777777778,0.0016059410447559466
