niewiadoma,pomiary,wartosc,niepewnosc
k1,"ciez1_masa,okres1",135445.593718641,3995.6368763272717
k2,"ciez1_masa,okres3",36370.1066725073,317.267552847782
k1,"ciez2_masa,okres2",110444.295210056,1767.6881049235783
k2,"ciez2_masa,okres4",37465.5516299515,227.50327810895809
wsyn1,sym1,7.48196186353748,0.017409366204918304
wasyn,asym,8.79655716957553,0.019777672847549475
